driver_id,name,hiring_date
D01,Driver 1,2020-12-28
D02,Driver 2,2024-01-17
D03,Driver 3,2023-03-13
D04,Driver 4,2023-12-18
D05,Driver 5,2020-04-17
D06,Driver 6,2023-11-21
D07,Driver 7,2023-07-04
D08,Driver 8,2020-04-29
D09,Driver 9,2020-08-12
D10,Driver 10,2021-07-26
D11,Driver 11,2020-03-31
D12,Driver 12,2020-03-20
D13,Driver 13,2020-10-01
D14,Driver 14,2021-04-28
D15,Driver 15,2023-09-24
D16,Driver 16,2020-12-30
D17,Driver 17,2020-09-21
D18,Driver 18,2020-07-03
D19,Driver 19,2020-11-26
D20,Driver 20,2021-11-04
D21,Driver 21,2024-01-17
D22,Driver 22,2023-10-21
D23,Driver 23,2022-09-16
D24,Driver 24,2022-03-29
D25,Driver 25,2020-10-30
D26,Driver 26,2023-12-15
D27,Driver 27,2023-06-23
D28,Driver 28,2023-05-30
D29,Driver 29,2023-11-19
D30,Driver 30,2020-10-03
