vehicle_id,model,fuel_capacity_l
V001,MAN TGX,517
V002,Volvo FH,484
V003,MAN TGX,761
V004,MAN TGX,583
V005,Mercedes Actros,782
V006,MAN TGX,719
V007,Mercedes Actros,417
V008,Volvo FH,769
V009,Scania R500,442
V010,Volvo FH,635
V011,Scania R500,422
V012,Volvo FH,412
V013,Scania R500,508
V014,Mercedes Actros,530
V015,MAN TGX,751
V016,MAN TGX,745
V017,MAN TGX,586
V018,Mercedes Actros,639
V019,Volvo FH,657
V020,Scania R500,669
V021,MAN TGX,478
V022,Scania R500,655
V023,Volvo FH,789
V024,Scania R500,567
V025,MAN TGX,794
V026,MAN TGX,593
V027,Scania R500,498
V028,Mercedes Actros,628
V029,Mercedes Actros,639
V030,MAN TGX,688
V031,Mercedes Actros,589
V032,Volvo FH,676
V033,Mercedes Actros,446
V034,Scania R500,494
V035,Volvo FH,497
V036,Scania R500,646
V037,Scania R500,419
V038,MAN TGX,653
V039,MAN TGX,502
V040,Scania R500,669
V041,Scania R500,658
V042,Scania R500,693
V043,Volvo FH,638
V044,MAN TGX,649
V045,MAN TGX,593
V046,MAN TGX,500
V047,MAN TGX,687
V048,Volvo FH,761
V049,Volvo FH,697
V050,Scania R500,539
